Date,Open,High,Low,Close,Adj Close,Volume
2022-10-10,34.619999,34.919998,34.090000,34.139999,33.518200,7805100
2022-10-11,34.040001,34.730000,33.709999,34.459999,33.832371,8847600
2022-10-12,34.400002,34.430000,33.830002,34.000000,33.380749,8899300
2022-10-13,33.290001,34.810001,33.125000,34.639999,34.009090,14575700
2022-10-14,35.070000,35.150002,33.700001,33.770000,33.154938,9011700
2022-10-17,34.380001,35.165001,34.320000,35.029999,34.391987,7687600
2022-10-18,35.680000,35.965000,35.160000,35.490002,34.843613,7743400
2022-10-19,35.169998,35.270000,34.400002,34.599998,33.969822,7615200
2022-10-20,34.610001,34.959999,34.325001,34.430000,33.802914,7603500
2022-10-21,34.500000,34.680000,33.959999,34.669998,34.038544,9826900
2022-10-24,35.000000,35.145000,34.380001,34.650002,34.018913,6076300
2022-10-25,34.700001,36.060001,34.680000,36.020000,35.363956,7176700
2022-10-26,36.040001,36.290001,35.720001,35.950001,35.295235,8945000
2022-10-27,36.130001,36.389999,35.814999,35.970001,35.314869,8435500
2022-10-28,35.869999,36.919998,35.660000,36.820000,36.149384,5460300
2022-10-31,36.480000,36.970001,36.320000,36.730000,36.061024,7154700
2022-11-01,37.099998,37.299999,36.564999,36.669998,36.002117,6000900
2022-11-02,36.470001,36.950001,35.645000,35.709999,35.059601,13999400
2022-11-03,35.430000,35.980000,35.029999,35.689999,35.039970,10969400
2022-11-04,36.009998,36.365002,35.459999,36.189999,35.530857,7524100
2022-11-07,36.419998,36.560001,35.959999,36.180000,35.521046,6479800
2022-11-08,36.279999,36.770000,36.165001,36.400002,35.737038,6225500
2022-11-09,36.298000,36.740002,35.930000,36.000000,35.344322,7752900
2022-11-10,37.345001,38.860001,37.189999,38.759998,38.054050,11979200
2022-11-11,38.880001,39.200001,38.634998,38.740002,38.034420,7291400
2022-11-14,38.520000,38.570000,37.709999,37.709999,37.023178,6304100
2022-11-15,38.259998,38.419998,37.750000,38.180000,37.484615,9588700
2022-11-16,38.130001,38.310001,37.810001,37.910000,37.219532,7771200
2022-11-17,37.382000,37.689999,37.255001,37.570000,36.885727,4402600
2022-11-18,38.070000,38.200001,37.669998,38.049999,37.356983,5865600
2022-11-21,37.987999,38.369999,37.830002,38.320000,37.622066,4836700
2022-11-22,38.470001,38.529999,38.219002,38.509998,37.808605,5547200
2022-11-23,38.450001,38.730000,38.220001,38.570000,37.867516,3604500
2022-11-25,38.689999,38.840000,38.580002,38.799999,38.093323,2254100
2022-11-28,38.570000,38.740002,37.625000,37.709999,37.023178,7298200
2022-11-29,37.787998,38.389999,37.650002,38.340000,37.641705,4954300
2022-11-30,38.240002,39.270000,38.009998,39.240002,38.525314,8120200
2022-12-01,39.630001,39.840000,38.840000,39.160000,38.446766,9814100
2022-12-02,38.680000,39.169998,38.490002,38.970001,38.260231,5460800
2022-12-05,38.610001,38.820000,38.230000,38.310001,37.612251,7165500
2022-12-06,38.389999,38.459999,37.840000,38.020000,37.327534,5249500
2022-12-07,37.900002,38.505001,37.840000,38.099998,37.406071,6159800
2022-12-08,38.230000,38.685001,38.119999,38.380001,37.680977,4461000
2022-12-09,38.270000,38.715000,38.160000,38.299999,37.602432,6077000
2022-12-12,38.340000,38.639999,37.980000,38.619999,37.916599,4945000
2022-12-13,39.820000,40.000000,38.990002,39.470001,38.751125,10763800
2022-12-14,39.419998,39.910000,38.935001,39.090000,38.378044,10786500
2022-12-15,38.590000,38.990002,38.400002,38.639999,37.936237,6033200
2022-12-16,38.119999,38.139999,37.124001,37.500000,36.817001,8016200
2022-12-19,37.000000,37.049999,36.419998,36.639999,36.381104,4543900
2022-12-20,36.459999,36.779999,36.119999,36.560001,36.301670,4333900
2022-12-21,36.888000,37.310001,36.759998,36.930000,36.669056,4082400
2022-12-22,36.599998,36.830002,36.095001,36.750000,36.490326,4206200
2022-12-23,36.630001,37.099998,36.474998,37.080002,36.817997,3935100
2022-12-27,37.099998,37.188000,36.720001,37.049999,36.788204,4259700
2022-12-28,37.139999,37.340000,36.424999,36.459999,36.202374,4730900
2022-12-29,36.721001,37.365002,36.619999,37.270000,37.006653,4143200
2022-12-30,37.040001,37.180000,36.529999,36.930000,36.669056,5087800
2023-01-03,37.230000,37.560001,36.610001,37.070000,36.808064,7060300
2023-01-04,37.400002,38.259998,37.270000,37.919998,37.652058,7586900
2023-01-05,37.619999,37.619999,36.750000,36.810001,36.549904,6581100
2023-01-06,37.110001,38.009998,36.830002,37.880001,37.612343,6329600
2023-01-09,38.060001,38.310001,37.730000,37.860001,37.592484,3965600
2023-01-10,37.799999,37.990002,37.470001,37.970001,37.701706,5196700
2023-01-11,38.209999,39.360001,38.209999,39.349998,39.071953,4733100
2023-01-12,39.439999,39.869999,39.060001,39.790001,39.508846,5102300
2023-01-13,39.340000,39.720001,39.250000,39.560001,39.280472,3796000
2023-01-17,39.580002,39.825001,39.470001,39.570000,39.290401,5463200
2023-01-18,39.779999,39.820000,38.903999,38.959999,38.684711,7466700
2023-01-19,38.790001,39.259998,38.740002,38.770000,38.496052,7253700
2023-01-20,38.799999,39.259998,38.279999,39.220001,38.942875,4262500
2023-01-23,39.250000,39.589001,38.939999,39.330002,39.052097,7002200
2023-01-24,39.299999,39.650002,38.540001,39.500000,39.220894,7089700
2023-01-25,39.250000,39.610001,39.150002,39.540001,39.260612,8163100
2023-01-26,39.759998,39.990002,39.549999,39.990002,39.707436,4497400
2023-01-27,39.869999,40.520000,39.860001,40.349998,40.064888,3519900
2023-01-30,40.029999,40.494999,39.830002,39.860001,39.578350,3806400
2023-01-31,39.849998,40.645000,39.759998,40.590000,40.303192,4274800
2023-02-01,40.419998,41.169998,39.990002,40.889999,40.601074,7921000
2023-02-02,41.310001,42.209999,41.240002,41.830002,41.534431,7014400
2023-02-03,41.230000,41.259998,40.410000,40.959999,40.670578,7467200
2023-02-06,40.380001,40.743999,40.189999,40.700001,40.412418,5384400
2023-02-07,40.390999,40.755001,40.009998,40.540001,40.253548,7056600
2023-02-08,40.380001,40.610001,40.235001,40.430000,40.144325,4347800
2023-02-09,40.720001,40.849998,39.930000,40.040001,39.757080,3476900
2023-02-10,39.830002,40.230000,39.615002,40.119999,39.836514,4253400
2023-02-13,40.270000,40.555000,40.220001,40.490002,40.203899,2943000
2023-02-14,40.348000,40.630001,39.855000,40.070000,39.786865,4544900
2023-02-15,39.830002,40.195000,39.720001,40.180000,39.896091,3873000
2023-02-16,39.529999,40.153000,39.259998,39.810001,39.528706,4807200
2023-02-17,39.639999,39.740002,39.240002,39.610001,39.330120,7192500
2023-02-21,39.400002,39.400002,38.654999,38.830002,38.555630,4220800
2023-02-22,38.950001,38.980000,38.299999,38.480000,38.208103,7049600
